Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuitePositifScenario,,,,2021-04-25 00:20:48,2021-04-25 00:20:59,"10,456s",FAILED
,,,,,,,
Test Cases/TC01_CreateANewUser,,,,2021-04-25 00:20:50,2021-04-25 00:20:53,"3,349s",FAILED
"response = sendRequest(findTestObject(""CreateANewUser""))",,,,2021-04-25 00:20:50,2021-04-25 00:20:53,"2,451s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2021-04-25 00:20:53,2021-04-25 00:20:53,"0,013s",PASSED
"verifyElementPropertyValue(response, ""email"", ""george.harisson@reqres.in"")",,,,2021-04-25 00:20:53,2021-04-25 00:20:53,"0,106s",PASSED
"verifyElementPropertyValue(response, ""first_name"", ""George"")",,,,2021-04-25 00:20:53,2021-04-25 00:20:53,"0,033s",PASSED
"verifyElementPropertyValue(response, ""last_name"", ""Harrison"")",,,,2021-04-25 00:20:53,2021-04-25 00:20:53,"0,082s",FAILED
,,,,,,,
Test Cases/TC05_DeleteUser,,,,2021-04-25 00:20:53,2021-04-25 00:20:55,"1,570s",PASSED
"response = sendRequest(findTestObject(""DeleteUser""))",,,,2021-04-25 00:20:54,2021-04-25 00:20:55,"1,035s",PASSED
"verifyResponseStatusCode(response, 204)",,,,2021-04-25 00:20:55,2021-04-25 00:20:55,"0,003s",PASSED
,,,,,,,
Test Cases/TC06_GetAllUserPaged,,,,2021-04-25 00:20:55,2021-04-25 00:20:56,"1,155s",PASSED
"response = sendRequest(findTestObject(""GetAllUserPaged""))",,,,2021-04-25 00:20:55,2021-04-25 00:20:56,"0,526s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-04-25 00:20:56,2021-04-25 00:20:56,"0,004s",PASSED
"verifyElementPropertyValue(response, ""page"", ""2"")",,,,2021-04-25 00:20:56,2021-04-25 00:20:56,"0,039s",PASSED
"verifyElementPropertyValue(response, ""data[0].id"", ""7"")",,,,2021-04-25 00:20:56,2021-04-25 00:20:56,"0,025s",PASSED
"verifyElementPropertyValue(response, ""data[1].id"", ""8"")",,,,2021-04-25 00:20:56,2021-04-25 00:20:56,"0,031s",PASSED
"verifyElementPropertyValue(response, ""data[2].id"", ""9"")",,,,2021-04-25 00:20:56,2021-04-25 00:20:56,"0,015s",PASSED
"verifyElementPropertyValue(response, ""data[3].id"", ""10"")",,,,2021-04-25 00:20:56,2021-04-25 00:20:56,"0,034s",PASSED
"verifyElementPropertyValue(response, ""data[4].id"", ""11"")",,,,2021-04-25 00:20:56,2021-04-25 00:20:56,"0,036s",PASSED
"verifyElementPropertyValue(response, ""data[5].id"", ""12"")",,,,2021-04-25 00:20:56,2021-04-25 00:20:56,"0,045s",PASSED
,,,,,,,
Test Cases/TC07_UpdateUser,,,,2021-04-25 00:20:56,2021-04-25 00:20:57,"1,696s",PASSED
"response = sendRequest(findTestObject(""UpdateUser""))",,,,2021-04-25 00:20:56,2021-04-25 00:20:57,"1,059s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-04-25 00:20:57,2021-04-25 00:20:57,"0,000s",PASSED
"verifyElementPropertyValue(response, ""email"", ""janet.potter@reqres.in"")",,,,2021-04-25 00:20:57,2021-04-25 00:20:57,"0,034s",PASSED
"verifyElementPropertyValue(response, ""first_name"", ""Janet"")",,,,2021-04-25 00:20:57,2021-04-25 00:20:57,"0,021s",PASSED
"verifyElementPropertyValue(response, ""last_name"", ""Poter"")",,,,2021-04-25 00:20:57,2021-04-25 00:20:57,"0,013s",PASSED
"verifyElementPropertyValue(response, ""avatar"", ""https://reqres.in/img/faces/2-image.jpg"")",,,,2021-04-25 00:20:57,2021-04-25 00:20:57,"0,022s",PASSED
,,,,,,,
Test Cases/TC08_ViewDetailSingleUser,,,,2021-04-25 00:20:57,2021-04-25 00:20:59,"1,050s",PASSED
"response = sendRequest(findTestObject(""ViewDetailSingleUser""))",,,,2021-04-25 00:20:58,2021-04-25 00:20:58,"0,516s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-04-25 00:20:58,2021-04-25 00:20:58,"0,003s",PASSED
"verifyElementPropertyValue(response, ""data.id"", ""2"")",,,,2021-04-25 00:20:58,2021-04-25 00:20:58,"0,020s",PASSED
"verifyElementPropertyValue(response, ""data.email"", ""janet.weaver@reqres.in"")",,,,2021-04-25 00:20:58,2021-04-25 00:20:58,"0,020s",PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,,2021-04-25 00:20:58,2021-04-25 00:20:58,"0,020s",PASSED
"verifyElementPropertyValue(response, ""data.last_name"", ""Weaver"")",,,,2021-04-25 00:20:58,2021-04-25 00:20:58,"0,030s",PASSED
"verifyElementPropertyValue(response, ""data.avatar"", ""https://reqres.in/img/faces/2-image.jpg"")",,,,2021-04-25 00:20:58,2021-04-25 00:20:59,"0,020s",PASSED
